snapshot,country,tier,confederation,teams,total_market_value,average_market_value,note
2024-03,Korea Republic,1,AFC,12,155.03,12.9192,
2024-03,Colombia,1,CONMEBOL,20,247.95,12.3975,
2024-03,Brazil,2,CONMEBOL,20,234.39,11.7195,exclusion
2024-03,Hungary,1,UEFA,12,139.48,11.6233,
2024-03,Chile,1,CONMEBOL,16,185.65,11.6031,
2024-03,Cyprus,1,UEFA,14,155.03,11.0736,
2024-03,Ecuador,1,CONMEBOL,16,166.95,10.4344,
2024-03,South Africa,1,CAF,16,164.75,10.2969,
2024-03,Paraguay,1,CONMEBOL,12,121.68,10.14,
2024-03,Uruguay,1,CONMEBOL,16,160.99,10.0619,
2024-03,Bulgaria,1,UEFA,16,159.3,9.9563,inclusion
2024-03,England,3,UEFA,24,230.78,9.6158,
2024-03,Israel,1,UEFA,14,133.92,9.5657,inclusion
2024-03,Portugal,2,UEFA,18,165.2,9.1778,
2024-03,Egypt,1,CAF,18,159.8,8.8778,inclusion
2024-03,China PR,1,AFC,16,140.18,8.7613,inclusion
2024-03,Peru,1,CONMEBOL,18,149.5,8.3056,
2024-03,Spain,3,UEFA,40,331.65,8.2912,
2024-03,Netherlands,2,UEFA,20,163.65,8.1825,
2024-03,Russia,2,UEFA,18,147.1,8.1722,
2024-03,Mexico,2,CONCACAF,15,121.6,8.1067,
2024-03,Azerbaijan,1,UEFA,10,80.13,8.013,
2024-03,Belgium,2,UEFA,16,125.8,7.8625,
2024-03,Morocco,1,CAF,16,120.92,7.5575,
2024-03,IR Iran,1,AFC,16,119.43,7.4644,
2024-03,Australia,1,AFC,12,88.73,7.3942,
2024-03,Bolivia,1,CONMEBOL,16,113.82,7.1137,
2024-03,Türkiye,2,UEFA,18,127.62,7.09,
2024-03,Japan,2,AFC,20,136.3,6.815,
2024-03,Slovakia,1,UEFA,12,80.2,6.6833,
2024-03,Germany,3,UEFA,20,130.43,6.5215,
2024-03,Kazakhstan,1,UEFA,13,84.56,6.5046,
2024-03,Algeria,1,CAF,16,103.48,6.4675,
2024-03,Korea Republic,2,AFC,13,83.43,6.4177,
2024-03,Tunisia,1,CAF,14,89.06,6.3614,
2024-03,Uzbekistan,1,AFC,14,77.54,5.5386,
2024-03,Switzerland,2,UEFA,10,53.05,5.305,
2024-03,Austria,2,UEFA,16,83.87,5.2419,
2024-03,Saudi Arabia,2,AFC,18,92.61,5.145,
2024-03,France,3,UEFA,18,92.1,5.1167,
2024-03,Venezuela,1,CONMEBOL,14,68.95,4.925,
2024-03,Bosnia and Herzegovina,1,UEFA,12,58.03,4.8358,
2024-03,England,4,UEFA,24,115.98,4.8325,
2024-03,Italy,3,UEFA,60,285.2,4.7533,
2024-03,Thailand,1,AFC,16,75.5,4.7188,
2024-03,Poland,2,UEFA,18,84.43,4.6906,
2024-03,India,1,AFC,12,53.95,4.4958,
2024-03,Denmark,2,UEFA,12,53.85,4.4875,
2024-03,Greece,2,UEFA,25,106.99,4.2796,
2024-03,Scotland,2,UEFA,10,42.58,4.258,
2024-03,Armenia,1,UEFA,10,42.27,4.227,
2024-03,Costa Rica,1,CONCACAF,12,49.28,4.1067,
2024-03,Lithuania,1,UEFA,10,40.96,4.096,
2024-03,Albania,1,UEFA,10,40.44,4.044,
2024-03,Latvia,1,UEFA,10,39.88,3.988,
2024-03,Malaysia,1,AFC,13,51.82,3.9862,
2024-03,Indonesia,1,AFC,18,70.79,3.9328,
2024-03,Serbia,2,UEFA,16,62.86,3.9287,
2024-03,Chile,2,CONMEBOL,16,61.79,3.8619,
2024-03,USA,2,CONCACAF,24,92.08,3.8367,
2024-03,Czechia,2,UEFA,16,60.96,3.81,
2024-03,North Macedonia,1,UEFA,12,44.82,3.735,
2024-03,Moldova,1,UEFA,8,29.8,3.725,
2024-03,Croatia,2,UEFA,12,44.59,3.7158,
2024-03,Russia,3,UEFA,20,73.64,3.682,
2024-03,Belarus,1,UEFA,16,58.88,3.68,
2024-03,Norway,2,UEFA,16,57.08,3.5675,
2024-03,Uruguay,2,CONMEBOL,14,49.06,3.5043,
2024-03,Oman,1,AFC,12,40.31,3.3592,
2024-03,Georgia,1,UEFA,10,33.58,3.358,
2024-03,Lebanon,1,AFC,12,39.66,3.305,
2024-03,Kosovo,1,UEFA,10,32.61,3.261,
2024-03,Sweden,2,UEFA,16,52.14,3.2588,
2024-03,Malta,1,UEFA,14,44.48,3.1771,
2024-03,Finland,1,UEFA,12,37.45,3.1208,
2024-03,Honduras,1,CONCACAF,10,30.8,3.08,
2024-03,Hungary,2,UEFA,18,54.16,3.0089,
2024-03,Vietnam,1,AFC,14,42.01,3.0007,
2024-03,Colombia,2,CONMEBOL,16,46.44,2.9025,
2024-03,Guatemala,1,CONCACAF,12,33.65,2.8042,
2024-03,Argentina,2,CONMEBOL,38,105.81,2.7845,
2024-03,Japan,3,AFC,20,55.42,2.771,
2024-03,Canada,1,CONCACAF,8,21.71,2.7138,
2024-03,Israel,2,UEFA,16,42.58,2.6612,
2024-03,"Hong Kong, China",1,AFC,11,28.67,2.6064,
2024-03,Republic of Ireland,1,UEFA,10,25.89,2.589,
2024-03,Romania,2,UEFA,20,51.69,2.5845,
2024-03,Montenegro,1,UEFA,10,25.73,2.573,
2024-03,IR Iran,2,AFC,18,46.01,2.5561,
2024-03,Peru,2,CONMEBOL,18,45.83,2.5461,
2024-03,Northern Ireland,1,UEFA,12,28.14,2.345,
2024-03,Aotearoa New Zealand,1,OFC,10,22.95,2.295,
2024-03,Andorra,1,UEFA,10,22.94,2.294,
2024-03,El Salvador,1,CONCACAF,12,27.24,2.27,
2024-03,Ukraine,2,UEFA,20,44.63,2.2315,
2024-03,Estonia,1,UEFA,10,22.29,2.229,
2024-03,Bangladesh,1,AFC,10,21.55,2.155,
2024-03,USA,3,CONCACAF,12,25.71,2.1425,
2024-03,China PR,2,AFC,16,33.26,2.0787,
2024-03,Germany,4,UEFA,90,184.38,2.0487,
2024-03,Spain,4,UEFA,90,179.09,1.9899,
2024-03,Singapore,1,AFC,9,17.77,1.9744,
2024-03,Türkiye,3,UEFA,38,73.63,1.9376,
2024-03,Iceland,1,UEFA,12,23.1,1.925,
2024-03,Bulgaria,2,UEFA,18,34.64,1.9244,
2024-03,Panama,1,CONCACAF,12,22.91,1.9092,
2024-03,India,2,AFC,13,22.93,1.7638,
2024-03,Slovakia,2,UEFA,16,28.13,1.7581,
2024-03,Thailand,2,AFC,18,31.18,1.7322,
2024-03,Ghana,1,CAF,18,30.68,1.7044,
2024-03,Luxembourg,1,UEFA,16,26.53,1.6581,
2024-03,Fiji,1,OFC,10,15.17,1.517,
2024-03,Cambodia,1,AFC,10,14.83,1.483,
2024-03,Brazil,3,CONMEBOL,20,28.75,1.4375,
2024-03,Ecuador,2,CONMEBOL,10,14.29,1.429,
2024-03,Uzbekistan,2,AFC,8,11.03,1.3787,
2024-03,Albania,2,UEFA,12,16.07,1.3392,
2024-03,Slovenia,2,UEFA,16,20.73,1.2956,
2024-03,Indonesia,2,AFC,28,36.02,1.2864,
2024-03,Italy,4,UEFA,166,210.73,1.2695,
2024-03,Faroe Islands,1,UEFA,10,12.08,1.208,
2024-03,Wales,1,UEFA,12,14.44,1.2033,
2024-03,Belarus,2,UEFA,14,15.13,1.0807,
2024-03,Bosnia and Herzegovina,2,UEFA,34,36.43,1.0715,
2024-03,Chinese Taipei,1,AFC,8,8.56,1.07,
2024-03,Gibraltar,1,UEFA,11,11.75,1.0682,
2024-03,Georgia,2,UEFA,10,10.46,1.046,
2024-03,Tajikistan,1,AFC,12,10.92,0.91,
2024-03,Nicaragua,1,CONCACAF,10,4.55,0.455,
2024-03,San Marino,1,UEFA,16,6.58,0.4113,
2024-03,Angola,1,CAF,15,3.9,0.26,
2024-03,Philippines,1,AFC,15,3.49,0.2327,
2024-03,Dominican Republic,1,CONCACAF,8,1.63,0.2037,
2024-03,Mozambique,1,CAF,12,1.25,0.1042,
2024-03,Nigeria,1,CAF,20,1.21,0.0605,
2024-03,Jamaica,1,CONCACAF,14,0.46,0.0329,
2024-09,England,1,UEFA,20,11156,557.8,
2024-09,Spain,1,UEFA,20,5300,265,
2024-09,Italy,1,UEFA,20,4920,246,
2024-09,Germany,1,UEFA,18,4380,243.3333,
2024-09,France,1,UEFA,18,3460,192.2222,
2024-09,Portugal,1,UEFA,18,1520,84.4444,
2024-09,Brazil,1,CONMEBOL,20,1580,79,
2024-09,Netherlands,1,UEFA,18,1240,68.8889,
2024-09,Saudi Arabia,1,AFC,18,1230,68.3333,
2024-09,England,2,UEFA,24,1520,63.3333,
2024-09,Türkiye,1,UEFA,19,1110,58.4211,
2024-09,Russia,1,UEFA,16,849,53.0625,
2024-09,Belgium,1,UEFA,16,828.93,51.8081,
2024-09,Mexico,1,CONCACAF,18,868.88,48.2711,
2024-09,USA,1,CONCACAF,29,1260,43.4483,
2024-09,Greece,1,UEFA,14,482.63,34.4736,
2024-09,Austria,1,UEFA,12,406.45,33.8708,
2024-09,Argentina,1,CONMEBOL,28,885.76,31.6343,
2024-09,Qatar,1,AFC,12,323.03,26.9192,
2024-09,Switzerland,1,UEFA,12,320.4,26.7,
2024-09,Denmark,1,UEFA,12,313.68,26.14,
2024-09,Germany,2,UEFA,18,466.55,25.9194,
2024-09,Italy,2,UEFA,20,514.96,25.748,
2024-09,Scotland,1,UEFA,12,303.45,25.2875,
2024-09,United Arab Emirates,1,AFC,14,351.82,25.13,
2024-09,Ukraine,1,UEFA,16,379.69,23.7306,
2024-09,Croatia,1,UEFA,10,233.97,23.397,
2024-09,Spain,2,UEFA,22,509.08,23.14,
2024-09,Czechia,1,UEFA,16,311.34,19.4587,
2024-09,France,2,UEFA,18,304.58,16.9211,
2024-09,Serbia,1,UEFA,16,248.69,15.5431,
2024-09,Norway,1,UEFA,16,237.93,14.8706,
2024-09,Japan,1,AFC,20,292.93,14.6465,
2024-09,Sweden,1,UEFA,16,232.6,14.5375,
2024-09,Hungary,1,UEFA,12,162.01,13.5008,
2024-09,Poland,1,UEFA,18,239.88,13.3267,
2024-09,Romania,1,UEFA,16,211.88,13.2425,
2024-09,Korea Republic,1,AFC,12,154.47,12.8725,
2024-09,Brazil,2,CONMEBOL,20,245.83,12.2915,exclusion
2024-09,Colombia,1,CONMEBOL,20,237.88,11.894,
2024-09,Chile,1,CONMEBOL,16,188.55,11.7844,
2024-09,England,3,UEFA,24,266.18,11.0908,exclusion
2024-09,Cyprus,1,UEFA,14,153,10.9286,
2024-09,Bulgaria,1,UEFA,16,166.69,10.4181,
2024-09,South Africa,1,CAF,16,164.88,10.305,
2024-09,Ecuador,1,CONMEBOL,16,162.98,10.1862,
2024-09,Uruguay,1,CONMEBOL,16,162.17,10.1356,
2024-09,Paraguay,1,CONMEBOL,12,120.85,10.0708,
2024-09,Israel,1,UEFA,14,128.82,9.2014,inclusion
2024-09,Azerbaijan,1,UEFA,10,87.4,8.74,inclusion
2024-09,China PR,1,AFC,16,136.12,8.5075,inclusion
2024-09,Russia,2,UEFA,18,144.95,8.0528,
2024-09,IR Iran,1,AFC,16,128.81,8.0506,
2024-09,Peru,1,CONMEBOL,18,144.79,8.0439,
2024-09,Mexico,2,CONCACAF,15,120.38,8.0253,
2024-09,Portugal,2,UEFA,18,143.3,7.9611,
2024-09,Egypt,1,CAF,18,140.55,7.8083,
2024-09,Slovakia,1,UEFA,12,92.94,7.745,
2024-09,Japan,2,AFC,20,146.94,7.347,
2024-09,Morocco,1,CAF,16,112.68,7.0425,
2024-09,Türkiye,2,UEFA,20,139.89,6.9945,
2024-09,Germany,3,UEFA,20,133.33,6.6665,
2024-09,Bolivia,1,CONMEBOL,16,105.82,6.6137,
2024-09,Korea Republic,2,AFC,13,82.74,6.3646,
2024-09,Kazakhstan,1,UEFA,13,81.49,6.2685,
2024-09,Algeria,1,CAF,16,99.28,6.205,
2024-09,Slovenia,1,UEFA,10,61.36,6.136,
2024-09,Belgium,2,UEFA,16,96.3,6.0187,
2024-09,Australia,1,AFC,13,77.23,5.9408,
2024-09,Uzbekistan,1,AFC,14,81.3,5.8071,
2024-09,Netherlands,2,UEFA,20,112.6,5.63,
2024-09,Tunisia,1,CAF,16,86.65,5.4156,
2024-09,Bosnia and Herzegovina,1,UEFA,12,62.04,5.17,
2024-09,Italy,3,UEFA,60,300.04,5.0007,
2024-09,Lithuania,1,UEFA,10,49.1,4.91,
2024-09,Denmark,2,UEFA,12,58.56,4.88,
2024-09,Spain,3,UEFA,40,191.33,4.7833,
2024-09,Switzerland,2,UEFA,10,47,4.7,
2024-09,Thailand,1,AFC,16,74.7,4.6688,
2024-09,India,1,AFC,13,58.81,4.5238,
2024-09,Norway,2,UEFA,16,72.14,4.5088,
2024-09,Chile,2,CONMEBOL,16,71.35,4.4594,
2024-09,Venezuela,1,CONMEBOL,14,60.93,4.3521,
2024-09,Poland,2,UEFA,18,77,4.2778,
2024-09,Saudi Arabia,2,AFC,18,76.28,4.2378,
2024-09,Latvia,1,UEFA,10,42.19,4.219,
2024-09,USA,2,CONCACAF,24,98.92,4.1217,
2024-09,Sweden,2,UEFA,16,65.45,4.0906,
2024-09,Malaysia,1,AFC,13,52.84,4.0646,
2024-09,England,4,UEFA,24,96.25,4.0104,
2024-09,Austria,2,UEFA,16,63.76,3.985,
2024-09,Costa Rica,1,CONCACAF,12,47.19,3.9325,
2024-09,Albania,1,UEFA,10,39.2,3.92,
2024-09,Armenia,1,UEFA,11,41.36,3.76,
2024-09,Indonesia,1,AFC,18,67.46,3.7478,
2024-09,Uruguay,2,CONMEBOL,14,52.16,3.7257,
2024-09,Kosovo,1,UEFA,10,36.57,3.657,
2024-09,Belarus,1,UEFA,16,57.68,3.605,
2024-09,Finland,1,UEFA,12,42.78,3.565,
2024-09,Georgia,1,UEFA,10,35.52,3.552,
2024-09,France,3,UEFA,17,59.2,3.4824,
2024-09,Moldova,1,UEFA,8,27.51,3.4388,
2024-09,Czechia,2,UEFA,16,54.31,3.3944,
2024-09,Russia,3,UEFA,40,129.61,3.2403,
2024-09,Greece,2,UEFA,20,64.43,3.2215,
2024-09,Japan,3,AFC,20,64.01,3.2005,
2024-09,Vietnam,1,AFC,14,44.8,3.2,
2024-09,Oman,1,AFC,12,37.74,3.145,
2024-09,Canada,1,CONCACAF,8,25.14,3.1425,
2024-09,Scotland,2,UEFA,10,30.57,3.057,
2024-09,North Macedonia,1,UEFA,12,36.54,3.045,
2024-09,Aotearoa New Zealand,1,OFC,10,30.41,3.041,
2024-09,Honduras,1,CONCACAF,10,29.86,2.986,
2024-09,Colombia,2,CONMEBOL,16,46.59,2.9119,
2024-09,Argentina,2,CONMEBOL,38,108.33,2.8508,
2024-09,Serbia,2,UEFA,16,44.26,2.7662,
2024-09,Peru,2,CONMEBOL,18,48.39,2.6883,
2024-09,Republic of Ireland,1,UEFA,10,26.3,2.63,
2024-09,Croatia,2,UEFA,12,30.57,2.5475,
2024-09,USA,3,CONCACAF,12,30.51,2.5425,
2024-09,Ecuador,2,CONMEBOL,10,25.24,2.524,
2024-09,Israel,2,UEFA,16,40.2,2.5125,
2024-09,Malta,1,UEFA,12,30.04,2.5033,
2024-09,Guatemala,1,CONCACAF,12,29.61,2.4675,
2024-09,El Salvador,1,CONCACAF,11,27.1,2.4636,
2024-09,Lebanon,1,AFC,12,29.51,2.4592,
2024-09,Estonia,1,UEFA,10,24.13,2.413,
2024-09,"Hong Kong, China",1,AFC,9,21.44,2.3822,
2024-09,Ukraine,2,UEFA,18,42.73,2.3739,
2024-09,Hungary,2,UEFA,16,37.97,2.3731,
2024-09,Montenegro,1,UEFA,10,23.68,2.368,
2024-09,China PR,2,AFC,16,37.11,2.3194,
2024-09,Singapore,1,AFC,9,20.58,2.2867,
2024-09,IR Iran,2,AFC,18,38.59,2.1439,
2024-09,Romania,2,UEFA,22,46.07,2.0941,
2024-09,Iceland,1,UEFA,12,24.99,2.0825,
2024-09,Andorra,1,UEFA,10,20.36,2.036,
2024-09,Northern Ireland,1,UEFA,12,23.93,1.9942,
2024-09,Panama,1,CONCACAF,12,23.73,1.9775,
2024-09,Uzbekistan,2,AFC,8,14.71,1.8388,
2024-09,Bangladesh,1,AFC,10,17.03,1.703,
2024-09,Türkiye,3,UEFA,36,58.9,1.6361,
2024-09,Spain,4,UEFA,90,144.96,1.6107,
2024-09,Germany,4,UEFA,90,143.13,1.5903,
2024-09,Switzerland,3,UEFA,18,27.8,1.5444,
2024-09,Bulgaria,2,UEFA,20,30.47,1.5235,
2024-09,Thailand,2,AFC,18,26.7,1.4833,
2024-09,Fiji,1,OFC,10,14.8,1.48,
2024-09,Slovakia,2,UEFA,14,20.43,1.4593,
2024-09,Luxembourg,1,UEFA,16,22.65,1.4156,
2024-09,Belarus,2,UEFA,18,25.23,1.4017,
2024-09,Qatar,2,AFC,8,11,1.375,
2024-09,Ghana,1,CAF,18,24.73,1.3739,
2024-09,Faroe Islands,1,UEFA,10,13.44,1.344,
2024-09,India,2,AFC,12,16.04,1.3367,
2024-09,Cambodia,1,AFC,11,14.49,1.3173,
2024-09,Philippines,1,AFC,9,11.67,1.2967,
2024-09,Indonesia,2,AFC,26,30.53,1.1742,
2024-09,Slovenia,2,UEFA,16,18.54,1.1587,
2024-09,Italy,4,UEFA,168,188.42,1.1215,
2024-09,Albania,2,UEFA,12,13.13,1.0942,
2024-09,Wales,1,UEFA,12,12.64,1.0533,
2024-09,Gibraltar,1,UEFA,11,10.36,0.9418,
2024-09,Tajikistan,1,AFC,12,11.08,0.9233,
2024-09,Chinese Taipei,1,AFC,8,7.33,0.9163,
2024-09,Nicaragua,1,CONCACAF,10,5.7,0.57,
2024-09,San Marino,1,UEFA,16,7.8,0.4875,
2024-09,Myanmar,1,AFC,12,4.53,0.3775,
2024-09,Laos,1,AFC,8,2.67,0.3337,
2024-09,Dominican Republic,1,CONCACAF,8,2.1,0.2625,
2024-09,Angola,1,CAF,16,3.88,0.2425,
2024-09,Mozambique,1,CAF,12,1.4,0.1167,
2024-09,Jamaica,1,CONCACAF,14,0.91,0.065,
2024-09,Uganda,1,CAF,16,0.88,0.055,
2024-09,Nigeria,1,CAF,20,0.48,0.024,
2024-09,Ethiopia,1,CAF,19,0.05,0.0026,
2025-03,England,1,UEFA,20,11760,588,
2025-03,Spain,1,UEFA,20,5270,263.5,
2025-03,Italy,1,UEFA,20,5070,253.5,
2025-03,Germany,1,UEFA,18,4480,248.8889,
2025-03,France,1,UEFA,18,3520,195.5556,
2025-03,Portugal,1,UEFA,18,1580,87.7778,
2025-03,Brazil,1,CONMEBOL,20,1680,84,
2025-03,Netherlands,1,UEFA,18,1280,71.1111,
2025-03,England,2,UEFA,24,1680,70,
2025-03,Belgium,1,UEFA,16,960.48,60.03,
2025-03,Türkiye,1,UEFA,19,1130,59.4737,
2025-03,Russia,1,UEFA,16,913.58,57.0988,
2025-03,Saudi Arabia,1,AFC,18,1020,56.6667,
2025-03,Mexico,1,CONCACAF,18,894.7,49.7056,
2025-03,USA,1,CONCACAF,30,1260,42,
2025-03,Greece,1,UEFA,14,495.43,35.3879,
2025-03,Switzerland,1,UEFA,12,407.14,33.9283,
2025-03,Austria,1,UEFA,12,393.33,32.7775,
2025-03,Argentina,1,CONMEBOL,30,955.31,31.8437,
2025-03,Qatar,1,AFC,12,346.98,28.915,
2025-03,Denmark,1,UEFA,12,344,28.6667,
2025-03,Germany,2,UEFA,18,514.38,28.5767,
2025-03,Italy,2,UEFA,20,542,27.1,
2025-03,Scotland,1,UEFA,12,321.9,26.825,
2025-03,United Arab Emirates,1,AFC,14,372.15,26.5821,
2025-03,Ukraine,1,UEFA,16,389.2,24.325,
2025-03,Czechia,1,UEFA,16,376.62,23.5388,
2025-03,Croatia,1,UEFA,10,232.73,23.273,
2025-03,Spain,2,UEFA,22,503.83,22.9014,
2025-03,France,2,UEFA,18,300.05,16.6694,
2025-03,Norway,1,UEFA,16,261.23,16.3269,
2025-03,Serbia,1,UEFA,16,259.12,16.195,
2025-03,Poland,1,UEFA,18,284.45,15.8028,
2025-03,Sweden,1,UEFA,16,249.15,15.5719,
2025-03,Japan,1,AFC,20,295.29,14.7645,
2025-03,Romania,1,UEFA,16,232.71,14.5444,
2025-03,Hungary,1,UEFA,12,159.1,13.2583,
2025-03,Korea Republic,1,AFC,12,142.51,11.8758,
2025-03,Chile,1,CONMEBOL,16,186.91,11.6819,
2025-03,Bulgaria,1,UEFA,16,181.99,11.3744,
2025-03,Colombia,1,CONMEBOL,20,224.33,11.2165,
2025-03,Brazil,2,CONMEBOL,20,218.53,10.9265,exclusion
2025-03,England,3,UEFA,24,261.13,10.8804,exclusion
2025-03,Cyprus,1,UEFA,14,150.18,10.7271,
2025-03,Ecuador,1,CONMEBOL,16,170.99,10.6869,
2025-03,South Africa,1,CAF,16,170.38,10.6487,
2025-03,Paraguay,1,CONMEBOL,12,125.45,10.4542,
2025-03,Azerbaijan,1,UEFA,10,101.43,10.143,
2025-03,Israel,1,UEFA,14,141.04,10.0743,
2025-03,Uruguay,1,CONMEBOL,16,147.96,9.2475,
2025-03,Portugal,2,UEFA,18,160.51,8.9172,
2025-03,China PR,1,AFC,16,140.12,8.7575,
2025-03,Slovakia,1,UEFA,12,101.38,8.4483,
2025-03,IR Iran,1,AFC,16,134.75,8.4219,
2025-03,Egypt,1,CAF,18,151.48,8.4156,
2025-03,Russia,2,UEFA,18,149.62,8.3122,
2025-03,Mexico,2,CONCACAF,15,122.64,8.176,
2025-03,Germany,3,UEFA,20,159.75,7.9875,
2025-03,Belgium,2,UEFA,16,123.8,7.7375,
2025-03,Morocco,1,CAF,16,120.26,7.5163,
2025-03,Türkiye,2,UEFA,20,147.69,7.3845,
2025-03,Netherlands,2,UEFA,20,147.2,7.36,
2025-03,Peru,1,CONMEBOL,19,136.95,7.2079,
2025-03,Slovenia,1,UEFA,10,71.8,7.18,
2025-03,Australia,1,AFC,13,91.28,7.0215,
2025-03,Japan,2,AFC,20,133.78,6.689,
2025-03,Uzbekistan,1,AFC,14,90.86,6.49,
2025-03,Algeria,1,CAF,16,102.55,6.4094,
2025-03,Denmark,2,UEFA,12,75.95,6.3292,
2025-03,Tunisia,1,CAF,16,95,5.9375,
2025-03,Korea Republic,2,AFC,14,78.43,5.6021,
2025-03,Austria,2,UEFA,16,87.4,5.4625,
2025-03,Switzerland,2,UEFA,10,54.58,5.458,
2025-03,Bolivia,1,CONMEBOL,16,85.89,5.3681,
2025-03,Bosnia and Herzegovina,1,UEFA,12,64.17,5.3475,
2025-03,Italy,3,UEFA,59,304.88,5.1675,
2025-03,Saudi Arabia,2,AFC,18,92.71,5.1506,
2025-03,Kazakhstan,1,UEFA,14,71.76,5.1257,
2025-03,Spain,3,UEFA,40,202.96,5.074,
2025-03,Thailand,1,AFC,16,79.15,4.9469,
2025-03,Poland,2,UEFA,18,82.2,4.5667,
2025-03,India,1,AFC,13,58.03,4.4638,
2025-03,Norway,2,UEFA,16,69.74,4.3587,
2025-03,France,3,UEFA,17,74.08,4.3576,
2025-03,Malaysia,1,AFC,13,55.5,4.2692,
2025-03,Albania,1,UEFA,10,42.68,4.268,
2025-03,Latvia,1,UEFA,10,42.02,4.202,
2025-03,Armenia,1,UEFA,11,45.86,4.1691,
2025-03,Venezuela,1,CONMEBOL,14,58.31,4.165,
2025-03,England,4,UEFA,24,99.85,4.1604,
2025-03,Costa Rica,1,CONCACAF,12,49.74,4.145,
2025-03,Lithuania,1,UEFA,10,39.01,3.901,
2025-03,Chile,2,CONMEBOL,16,62.31,3.8944,
2025-03,Greece,2,UEFA,20,77.73,3.8865,
2025-03,Indonesia,1,AFC,18,69.3,3.85,
2025-03,Czechia,2,UEFA,16,60.37,3.7731,
2025-03,Iraq,1,AFC,20,74.55,3.7275,
2025-03,Scotland,2,UEFA,10,36.65,3.665,
2025-03,USA,2,CONCACAF,24,87.9,3.6625,
2025-03,Belarus,1,UEFA,16,57.4,3.5875,
2025-03,Kosovo,1,UEFA,10,35.71,3.571,
2025-03,Moldova,1,UEFA,8,28.26,3.5325,
2025-03,Sweden,2,UEFA,16,55.81,3.4881,
2025-03,Vietnam,1,AFC,14,48.09,3.435,
2025-03,North Macedonia,1,UEFA,12,41.09,3.4242,
2025-03,Malta,1,UEFA,12,40.77,3.3975,
2025-03,Serbia,2,UEFA,16,51.56,3.2225,
2025-03,Honduras,1,CONCACAF,10,32.05,3.205,
2025-03,Oman,1,AFC,12,37.81,3.1508,
2025-03,Qatar,2,AFC,8,25.18,3.1475,
2025-03,Finland,1,UEFA,12,37.07,3.0892,
2025-03,Russia,3,UEFA,40,121.79,3.0448,
2025-03,Georgia,1,UEFA,10,30.2,3.02,
2025-03,Uruguay,2,CONMEBOL,14,41.49,2.9636,
2025-03,Republic of Ireland,1,UEFA,10,28.73,2.873,
2025-03,Argentina,2,CONMEBOL,36,102.07,2.8353,
2025-03,Guatemala,1,CONCACAF,11,30.98,2.8164,
2025-03,Israel,2,UEFA,16,45.06,2.8163,
2025-03,Japan,3,AFC,20,55.93,2.7965,
2025-03,Montenegro,1,UEFA,10,27.7,2.77,
2025-03,Andorra,1,UEFA,10,27.61,2.761,
2025-03,Croatia,2,UEFA,12,33.12,2.76,
2025-03,Hungary,2,UEFA,16,42.55,2.6594,
2025-03,El Salvador,1,CONCACAF,11,28.37,2.5791,
2025-03,Canada,1,CONCACAF,8,19.99,2.4987,
2025-03,Colombia,2,CONMEBOL,16,39.21,2.4506,
2025-03,IR Iran,2,AFC,18,44.04,2.4467,
2025-03,China PR,2,AFC,16,38.77,2.4231,
2025-03,Northern Ireland,1,UEFA,12,28.23,2.3525,
2025-03,New Zealand,1,OFC,10,23.33,2.333,
